day,operate,price,investment,total_balance
0,buy,201.14393023252487,0.0,9798.856069767475
1,buy,199.97999161481857,0.0,9598.876078152656
2,buy,200.85857962131502,0.0,9398.01749853134
3,buy,199.63870938420294,0.0,9198.378789147138
4,buy,201.77843761324883,0.0,8996.600351533889
5,buy,199.9724481999874,0.0,8796.627903333901
6,buy,206.03603252589704,0.0,8590.591870808004
8,buy,204.8197662404144,0.0,8385.77210456759
11,buy,198.83972867131234,0.0,8186.932375896277
12,buy,200.50894869565965,0.0,7986.423427200618
13,buy,203.34603587388992,0.0,7783.077391326728
14,sell,204.47956621170044,1.6583329038661727,7987.556957538428
15,buy,205.4731897652149,0.0,7782.083767773213
16,buy,207.6746187127781,0.0,7574.409149060435
17,sell,212.94508682234823,6.48319619519823,7787.3542358827835
19,buy,206.68540095014393,0.0,7580.66883493264
21,sell,217.21142749011517,8.141473418576737,7797.880262422755
22,sell,216.3076305383444,8.349543635879886,8014.187892961099
23,buy,220.6052718615532,0.0,7793.5826210995465
24,sell,219.49784770131112,8.781617251901464,8013.0804688008575
25,sell,216.09421115822255,8.061992091086552,8229.17467995908
26,buy,218.65804948687554,0.0,8010.516630472204
27,sell,219.31346124745608,6.44422655531875,8229.830091719661
28,sell,211.77134127259254,3.3939961751633314,8441.601432992255
29,buy,211.534127718691,0.0,8230.067305273564
31,buy,205.00211145937442,0.0,8025.065193814189
32,sell,205.23563924670222,3.2166160244377004,8230.300833060892
33,buy,209.13727612926544,0.0,8021.163556931627
34,sell,210.48917432785035,4.977446491597277,8231.652731259477
36,buy,210.97651958942413,0.0,8020.676211670053
39,buy,212.19077343583106,0.0,7808.485438234222
42,sell,217.98305454156935,7.198084095800588,8026.468492775792
43,sell,216.22289765775204,5.231683950991543,8242.691390433543
45,buy,212.25217311859132,0.0,8030.439217314952
46,buy,211.10239314079286,0.0,7819.336824174159
48,buy,208.01010119305312,0.0,7611.326722981106
49,sell,213.09671617865564,2.6108618855231867,7824.423439159762
51,buy,215.54123899638654,0.0,7608.882200163375
53,sell,232.64521365165712,12.56006112776932,7841.527413815033
54,sell,233.69698651134968,5.934452309014868,8075.224400326382
55,sell,238.7422416639328,9.18520595248553,8313.966641990315
57,sell,237.98777843915968,12.505618363221332,8551.954420429474
58,sell,231.25502303361893,12.806166427923396,8783.209443463093
59,sell,231.09960096359254,10.501391832583886,9014.309044426685
60,sell,230.95343936920167,9.468788194370685,9245.262483795887
61,sell,237.6574571430683,12.001786550317972,9482.919940938955
62,sell,237.27003710862144,11.78685882101755,9720.189978047576
63,buy,236.91496632933618,0.0,9483.27501171824
64,sell,237.14533615307388,12.336640350122378,9720.420347871313
65,sell,234.47144613981246,12.721182670932263,9954.891794011126
66,sell,235.5069342004931,9.263051143749472,10190.39872821162
68,sell,228.84553601145743,-3.40604498014761,10419.244264223076
78,buy,228.26131228450419,0.0,10190.982951938571
81,sell,221.7783491340524,-2.8401497763981287,10412.761301072624
85,buy,209.82240725544955,0.0,10202.938893817174
86,buy,209.5417846775335,0.0,9993.397109139642
87,sell,207.38448633225977,-1.1618973183458512,10200.7815954719
88,buy,208.11451721527678,0.0,9992.667078256623
90,buy,204.3585581970215,0.0,9788.308520059602
91,buy,203.8021301651001,0.0,9584.5063898945
92,buy,201.7838136571646,0.0,9382.722576237336
94,buy,197.30817255384744,0.0,9185.41440368349
95,buy,198.45411494851112,0.0,8986.96028873498
97,buy,195.29942192759037,0.0,8791.66086680739
98,buy,190.34968512824716,0.0,8601.311181679142
100,buy,187.70033325076105,0.0,8413.610848428381
101,buy,188.71612847566604,0.0,8224.894719952716
102,buy,186.43912922501562,0.0,8038.4555907277
103,buy,185.89880493403314,0.0,7852.556785793667
105,buy,187.89037074496926,0.0,7664.666415048698
107,buy,195.24132767344452,0.0,7469.4250873752535
108,buy,190.4097372710705,0.0,7279.015350104183
110,buy,184.2283519222963,0.0,7094.786998181887
111,buy,184.96648678776563,0.0,6909.820511394121
112,buy,185.13123270213603,0.0,6724.689278691985
113,buy,182.31217307248116,0.0,6542.377105619504
114,buy,179.63545820613905,0.0,6362.741647413364
116,buy,182.08919720172884,0.0,6180.652450211635
117,buy,177.53841594636438,0.0,6003.114034265271
119,buy,179.6338027483225,0.0,5823.480231516948
120,buy,182.3600311327803,0.0,5641.120200384168
121,buy,186.819375285601,0.0,5454.300825098567
123,sell,191.89273223171622,-8.422688807856456,5646.193557330283
125,buy,192.62665736377238,0.0,5453.56689996651
126,buy,190.97495486974717,0.0,5262.591945096763
127,sell,191.2807583451271,-8.088699959713322,5453.87270344189
128,buy,192.6799784487486,0.0,5261.192724993141
129,buy,196.04992046295345,0.0,5065.142804530188
130,buy,203.98395854258058,0.0,4861.1588459876075
131,sell,206.97176678299903,1.278737043866861,5068.130612770607
132,sell,208.27231801392557,2.1933960382083226,5276.402930784532
133,sell,206.2186601318407,2.1978207242187495,5482.621590916373
134,sell,207.7001544923383,5.266878611252039,5690.321745408712
135,sell,217.39946871297659,9.546465574362534,5907.721214121688
136,sell,218.0067575657368,11.62693438312656,6125.7279716874245
137,sell,219.69599127709864,15.41705000934441,6345.4239629645235
138,sell,219.83822464942932,17.121914938602256,6565.262187613953
139,sell,219.17805785536768,16.141667183273924,6784.440245469321
140,sell,222.28644498825074,19.227356356063304,7006.726690457572
141,sell,224.38719675361097,20.70394795342314,7231.113887211182
142,sell,231.5383266735077,23.230544362373667,7462.65221388469
143,sell,233.68564696133137,19.69066679990407,7696.337860846022
144,sell,234.54175740659238,23.177396685703524,7930.879618252614
145,sell,233.66650755882262,26.835259133935207,8164.5461258114365
146,sell,236.20944244444368,27.703913582721217,8400.75556825588
147,sell,236.47300882458688,27.732638827645246,8637.228577080466
148,sell,243.6309882044792,33.633966453583845,8880.859565284945
149,sell,246.79775675421953,37.38810768139606,9127.657322039166
150,sell,247.16525515973566,35.73856052861381,9374.822577198902
151,sell,249.47846897602082,40.520837502228275,9624.301046174922
152,sell,254.8266637392765,41.85897077305859,9879.127709914199
153,sell,262.8708593223143,44.14938278383617,10141.998569236514
154,sell,259.07468835532666,38.67656283469795,10401.073257591841
155,sell,262.2016808753711,36.119104418765566,10663.274938467212
156,sell,258.9949152767658,35.61721507064164,10922.269853743977
157,sell,260.79150792574194,35.349562536467936,11183.06136166972
158,sell,259.26808942079543,32.24595491217656,11442.329451090514
159,sell,261.64682473673344,28.26833374846779,11703.976275827248
