day,operate,price,investment,total_balance
3,buy,295.53241625952364,0.0,9704.467583740476
4,sell,295.27470494999704,-0.08720238300365933,9999.742288690473
6,buy,292.8363627531749,0.0,9706.905925937299
7,buy,293.4248615831978,0.0,9413.4810643541
8,sell,294.9290382522541,0.7146228287376477,9708.410102606354
10,buy,285.796960132122,0.0,9422.613142474233
11,buy,285.36225416689393,0.0,9137.250888307339
12,buy,284.9801349297202,0.0,8852.27075337762
13,buy,285.5166121362837,0.0,8566.754141241336
14,buy,284.42270981307803,0.0,8282.331431428258
15,buy,284.637135298019,0.0,7997.694296130239
16,sell,287.409211460948,-2.0501501099095374,8285.103507591188
17,sell,289.4633988505602,1.282882336027378,8574.566906441749
20,buy,281.5318293539852,0.0,8293.035077087763
21,buy,285.43722853302955,0.0,8007.597848554734
22,buy,286.47583906760036,0.0,7721.122009487133
23,buy,288.25407832553867,0.0,7432.867931161594
24,buy,288.2354045606106,0.0,7144.6325266009835
25,buy,288.1264628624916,0.0,6856.506063738492
26,sell,292.2858506038004,2.4262481585448894,7148.791914342292
27,buy,293.38247075621905,0.0,6855.409443586073
29,sell,294.18938121653616,3.231539731387629,7149.59882480261
30,buy,292.9635830712479,0.0,6856.635241731362
32,buy,288.76072678551503,0.0,6567.874514945847
33,buy,290.9551815108317,0.0,6276.919333435016
35,sell,294.0798063844443,2.999193001096964,6570.99913981946
36,sell,297.9880301785469,4.769422376428377,6868.987169998007
37,sell,294.400179669857,3.429996708481457,7163.387349667863
38,sell,296.4410635940534,5.295754399877115,7459.8284132619165
39,sell,294.45291137614487,3.158551843237246,7754.281324638061
42,sell,294.26314523930967,2.7183116723053615,8048.544469877371
44,sell,294.7602566826344,2.25709845803049,8343.304726560005
45,buy,294.4547097885609,0.0,8048.850016771445
46,sell,294.17368159986137,2.0602177752254716,8343.023698371306
47,sell,293.30281498174907,1.7965556054210332,8636.326513353055
48,sell,293.604843493104,0.07579619065575537,8929.931356846158
49,sell,296.5866648441553,1.2367003894904733,9226.518021690314
50,sell,295.0623688398981,2.1823057880941676,9521.580390530211
51,sell,294.7525494849682,1.3051384596136189,9816.33294001518
55,sell,293.517113672617,-0.318417768429367,10109.850053687796
58,buy,289.14152982115746,0.0,9820.708523866639
59,sell,290.55072379161163,0.4873716934837402,10111.25924765825
65,buy,288.3078670883179,0.0,9822.951380569932
67,sell,288.0029814243722,-0.10575003277739242,10110.954361994303
70,buy,281.4934853765148,0.0,9829.460876617788
71,buy,279.81820988627385,0.0,9549.642666731514
73,buy,281.6830579298735,0.0,9267.95960880164
74,sell,282.17434501455904,0.24187403027588647,9550.1339538162
75,sell,284.4298058912981,1.6480685824194659,9834.563759707497
76,sell,283.54835619841157,0.6621975358569345,10118.112115905908
77,buy,283.4730969071388,0.0,9834.639018998769
78,buy,284.13494945346355,0.0,9550.504069545304
80,buy,280.8794656360149,0.0,9269.62460390929
83,buy,278.36817962794424,0.0,8991.256424281346
84,buy,279.28533966779713,0.0,8711.97108461355
85,buy,279.86296142541767,0.0,8432.108123188133
86,sell,280.8126886788881,-0.9385046613866984,8712.920811867021
87,sell,281.87811492344497,-0.7942826232252047,8994.798926790467
88,sell,284.8705722473443,1.4209321433633575,9279.669499037811
90,buy,277.8814618825913,0.0,9001.78803715522
91,buy,278.3077144432068,0.0,8723.480322712014
94,buy,272.4387856721878,0.0,8451.041537039826
95,buy,270.0128082823753,0.0,8181.02872875745
96,sell,267.9698602724076,-3.7354554566670113,8448.998589029858
97,buy,263.91161369949583,0.0,8185.086975330361
98,buy,265.8819441926479,0.0,7919.205031137713
99,buy,263.75316562652586,0.0,7655.451865511188
100,buy,258.091060757637,0.0,7397.360804753551
101,buy,254.86000704384327,0.0,7142.5007977097075
102,buy,256.2178086769581,0.0,6886.282989032749
104,buy,248.71155123710633,0.0,6637.571437795643
105,buy,250.45379734039307,0.0,6387.11764045525
106,buy,252.10210006713868,0.0,6135.015540388111
107,buy,251.5470152378082,0.0,5883.468525150302
108,buy,246.85913747787475,0.0,5636.609387672428
109,buy,249.0047321534157,0.0,5387.604655519012
110,buy,250.66357569932939,0.0,5136.941079819683
111,buy,251.8880064511299,0.0,4885.053073368554
112,buy,256.8171700901509,0.0,4628.2359032784025
113,buy,259.2003309226036,0.0,4369.035572355799
114,buy,258.9544174146032,0.0,4110.081154941196
115,buy,255.60760831832886,0.0,3854.4735466228667
116,buy,258.1573353880155,0.0,3596.3162112348514
117,buy,258.9382369079429,0.0,3337.3779743269083
119,buy,256.6824336876118,0.0,3080.6955406392963
120,buy,261.1176976682997,0.0,2819.5778429709967
121,buy,263.16417113115546,0.0,2556.4136718398413
122,buy,262.97648774266247,0.0,2293.437184097179
123,buy,267.88424923553464,0.0,2025.5529348616442
124,sell,268.91611172676085,-3.712772017811684,2294.469046588405
126,sell,269.7339788649416,-3.6192651249334378,2564.2030254533465
127,sell,268.55830993281484,-3.355082374554228,2832.7613353861616
131,sell,272.5300436440182,-2.0760009512304247,3105.29137903018
132,sell,271.40322215323687,-0.3801086972238159,3376.694601183417
133,sell,277.12891043186187,2.6354683671319172,3653.823511615279
134,sell,276.72422632575035,4.854887758309742,3930.5477379410295
135,sell,279.9942591777328,5.30773724704662,4210.541997118762
136,sell,281.4136924159527,6.69585396159155,4491.955689534715
137,sell,282.84864948994874,9.592578936920477,4774.804339024664
138,sell,283.41976800766946,11.206058296511422,5058.224107032333
139,sell,282.69668043136596,10.334516515904122,5340.9207874636995
141,sell,281.1787309527397,13.054150301479634,5622.099518416439
