day,operate,price,investment,total_balance
0,buy,427.52782151579856,0.0,9572.472178484202
1,buy,434.9208911864537,0.0,9137.551287297749
3,buy,433.1563913851791,0.0,8704.39489591257
4,buy,433.10116627265097,0.0,8271.29372963992
5,buy,435.1030087394851,0.0,7836.190720900435
6,sell,435.78799031376843,1.9320774888248127,8271.978711214204
7,buy,436.0779198645282,0.0,7835.900791349675
8,buy,440.4212339758873,0.0,7395.479557373788
10,buy,421.1013078501093,0.0,6974.378249523679
11,buy,423.5383109550011,0.0,6550.839938568678
14,buy,424.7103248346573,0.0,6126.1296137340205
15,buy,426.83096690862715,0.0,5699.298646825393
18,buy,441.2873696809745,0.0,5258.011277144418
19,buy,440.0222728492425,0.0,4817.989004295176
20,buy,433.2869427186251,0.0,4384.7020615765505
21,buy,442.43004921197894,0.0,3942.2720123645713
22,sell,442.72201600263867,1.793688225668745,4384.99402836721
23,buy,441.9129259169102,0.0,3943.0811024503
25,buy,444.1542444562912,0.0,3498.926857994009
26,sell,450.25038244294046,3.9463785823630424,3949.1772404369494
27,sell,444.02836526855646,2.523013061808858,4393.205605705506
28,buy,448.1844369664377,0.0,3945.0211687390683
29,buy,449.1773200035095,0.0,3495.843848735559
30,buy,453.7695321596443,0.0,3042.0743165759145
32,buy,448.8062032977975,0.0,2593.268113278117
33,buy,460.4088146388531,0.0,2132.859298639264
35,buy,460.32732511230586,0.0,1672.5319735269582
36,sell,464.75247953175364,6.814356645835315,2137.2844530587117
37,sell,457.23711283035635,4.852158754655922,2594.521565889068
38,buy,461.45705093405246,0.0,2133.0645149550155
39,buy,458.9669395157486,0.0,1674.0975754392668
40,sell,447.9157148543135,1.7016620226890604,2122.01329029358
41,buy,448.9631717252732,0.0,1673.050118568307
43,buy,436.4952370291436,0.0,1236.5548815391635
45,buy,445.2627623101807,0.0,791.2921192289828
47,buy,446.9846238973576,0.0,344.30749533162515
49,sell,459.47779054650664,9.113361079860953,803.7852858781318
50,buy,457.6975442776575,0.0,346.0877416004743
51,sell,454.98649087365214,7.425108686801236,801.0742324741265
52,buy,453.208748818872,0.0,347.8654836552545
54,sell,450.66960690921127,6.1122323985554425,798.5350905644657
55,buy,454.12454697241543,0.0,344.41054359205026
57,sell,448.810717762408,5.149521135491115,793.2212613544582
58,buy,450.2062679645121,0.0,343.0149933899461
59,sell,444.9521877193451,0.8304833290424869,787.9671811092912
60,buy,445.29982308219786,0.0,342.66735802709337
64,sell,516.5252245550232,17.386154389505563,859.1925825821165
65,buy,523.3617706603187,0.0,335.8308119217978
66,sell,532.9387220144272,22.99902661976029,868.769533936225
67,sell,541.4034741127491,22.370412018137948,1410.1730080489742
68,buy,540.9352432785714,0.0,869.2377647704028
69,buy,532.3365734998513,0.0,336.9011912705515
72,sell,547.7685189902347,23.95394813439511,884.6697102607862
73,sell,547.3032217970002,23.223683805381214,1431.9729320577865
74,sell,541.830971956253,20.894642309239323,1973.8039040140395
75,buy,547.2448301114083,0.0,1426.559073902631
76,buy,547.2946844475889,0.0,879.2643894550422
77,buy,547.053762590704,0.0,332.2106268643382
82,sell,551.9359559071654,22.87707578442585,884.1465827715036
83,sell,564.7830015617716,24.464725270067433,1448.9295843332752
84,buy,577.5542059999012,0.0,871.375378333374
85,sell,586.2284258580207,30.619501591211108,1457.6038041913948
86,sell,589.6106159353465,28.062408274663447,2047.2144201267413
87,sell,588.8855757427216,27.92757318915435,2636.099995869463
88,sell,581.4235823724604,25.997334138806455,3217.523578241923
89,buy,565.4514956849272,0.0,2652.072082556996
90,sell,560.8673877562642,22.202132543147815,3212.9394703132602
91,sell,564.2140572209966,25.670454227423136,3777.1535275342567
94,buy,539.7091469345618,0.0,3237.444380599695
95,sell,541.2945241585958,24.009262470475715,3778.7389047582906
97,buy,538.6018965463041,0.0,3240.1370082119865
98,buy,533.3053977541894,0.0,2706.831610457797
99,buy,526.0616531139613,0.0,2180.769957343836
100,buy,527.138469809711,0.0,1653.631487534125
101,buy,514.2827358108759,0.0,1139.348751723249
102,buy,520.4157596416104,0.0,618.9329920816386
104,sell,553.5022757052111,24.309132170282005,1172.4352677868496
105,sell,559.9321220243864,25.268765878838217,1732.367389811236
106,sell,567.3654632055759,23.960783775013976,2299.732853016812
107,sell,592.831632528609,30.807632040117188,2892.564485545421
108,sell,597.9527253806591,31.671526978034098,3490.51721092608
109,sell,596.6836291506994,32.5356112540249,4087.2008400767795
110,sell,603.9779002670717,35.633986127944965,4691.178740343851
111,sell,595.8271333444118,13.846132206535541,5287.005873688263
112,sell,594.7885996644492,9.955601350630486,5881.794473352712
113,sell,578.7187664305329,8.712945012540004,6460.513239783245
114,sell,572.7356283876895,4.658024502687727,7033.248868170935
119,buy,549.1661730600738,0.0,6484.082695110861
121,buy,543.120157519691,0.0,5940.96253759117
122,buy,543.7052138111472,0.0,5397.2573237800225
124,buy,556.8960857033729,0.0,4840.36123807665
125,sell,583.7979184532167,6.669758549267153,5424.159156529867
126,sell,588.4732519198507,7.571374545162582,6012.632408449717
127,sell,607.320368155241,5.153830038135825,6619.952776604959
128,sell,580.0548338875741,2.5825978557113896,7200.007610492533
129,buy,586.3349720262622,0.0,6613.672638466271
130,sell,601.0613023862254,11.367633066834498,7214.733940852496
131,sell,599.1949918794126,11.250070919105863,7813.928932731908
132,sell,577.3367112781406,8.256303744415893,8391.265644010049
133,sell,577.5562790036201,9.788705484393777,8968.82192301367
134,sell,580.4790308729112,10.118889839790167,9549.30095388658
135,sell,586.2835903411913,14.00024724080825,10135.584544227771
136,sell,581.411863266865,11.720648826480616,10716.996407494637
137,sell,583.8868574843964,6.322436837442366,11300.883264979033
140,buy,580.5316278656387,0.0,10720.351637113394
141,sell,580.7855032972742,6.934993160554461,11301.137140410669
144,buy,574.6827042256647,0.0,10726.454436185004
145,sell,577.0723147526027,6.136983809216382,11303.526750937606
147,buy,577.1210493579531,0.0,10726.405701579653
148,sell,586.6672937426126,5.3459179914396335,11313.072995322265
150,sell,573.5313821214783,-2.1836647165249565,11886.604377443744
151,sell,585.9800477325916,0.9385224861881132,12472.584425176336
152,sell,562.5734709457231,-2.1071163601935305,13035.157896122058
154,sell,568.5263843608707,-1.4892308999375399,13603.684280482928
157,buy,560.9290769100189,0.0,13042.75520357291
158,sell,559.3514718052941,-0.28124858732861224,13602.106675378203
