day,operate,price,investment,total_balance
0,buy,121.3392328119278,0.0,9878.660767188072
1,buy,122.16453977875292,0.0,9756.49622740932
2,buy,121.02726151943207,0.0,9635.468965889888
3,buy,122.96832247257232,0.0,9512.500643417316
4,buy,123.53952667236328,0.0,9388.961116744953
5,buy,123.69311173200607,0.0,9265.268005012947
6,buy,126.00381159067153,0.0,9139.264193422276
7,buy,126.4982257604599,0.0,9012.765967661815
8,buy,127.6604273056984,0.0,8885.105540356117
9,buy,127.9474487900734,0.0,8757.158091566043
10,sell,128.67190694475056,6.043118917842662,8885.829998510793
11,buy,126.20320920944215,0.0,8759.626789301352
12,sell,127.32573958873749,4.224793724375174,8886.95252889009
13,sell,129.50218312621115,7.0024897699749635,9016.4547120163
14,sell,130.11934219837187,5.815334861866196,9146.574054214672
15,sell,129.19819826602935,4.580454325904389,9275.772252480701
17,sell,132.91450265407562,7.455056140918051,9408.686755134777
18,sell,133.05419324874876,5.595371734452508,9541.740948383525
21,sell,134.59724385023117,6.402475640336458,9676.338192233756
22,sell,135.43909664154054,6.093250273411015,9811.777288875297
24,sell,137.7406510319495,7.654081683132323,9949.517939907246
25,sell,137.33576712608337,8.821136947608075,10086.85370703333
34,buy,131.9933962399149,0.0,9954.860310793414
38,buy,134.38329778380634,0.0,9820.477013009608
40,buy,132.14219539464904,0.0,9688.33481761496
41,buy,132.92220176457167,0.0,9555.412615850388
42,buy,134.42449436426162,0.0,9420.988121486125
43,buy,132.79256397485733,0.0,9288.195557511268
44,buy,133.85676458358765,0.0,9154.33879292768
45,buy,133.37408479812265,0.0,9020.964708129557
46,buy,134.263789947145,0.0,8886.700918182412
47,buy,135.4290143966675,0.0,8751.271903785744
48,buy,135.5962672662735,0.0,8615.67563651947
49,sell,138.5537212872505,4.970191868850312,8754.229357806722
50,buy,139.16451063394547,0.0,8615.064847172776
53,sell,141.42551532128286,5.240396428435566,8756.49036249406
55,sell,143.89714577198026,8.89568267140144,8900.38750826604
56,sell,144.608751724298,8.792022554986898,9044.996259990337
57,sell,143.70142128229142,6.9012176403589915,9188.697681272628
58,sell,144.4758836054802,8.798173091103925,9333.173564878109
59,sell,144.6727550983429,8.080271884952914,9477.846319976452
60,sell,144.3727878526807,8.246506861663466,9622.219107829133
61,sell,146.2079936024964,8.896072172589067,9768.42710143163
62,sell,145.8482693064213,7.693517490451571,9914.27537073805
63,sell,142.35612530079604,4.985283275717364,10056.631496038846
65,sell,142.87173346042633,2.6639139602425193,10199.503229499272
72,buy,141.33933777174354,0.0,10058.163891727529
73,buy,143.27570390999315,0.0,9914.888187817536
74,buy,143.44020624160768,0.0,9771.447981575928
75,buy,145.2675331400013,0.0,9626.180448435927
76,buy,145.96236091508698,0.0,9480.21808752084
77,buy,146.40918272733688,0.0,9333.808904793503
78,buy,146.83108706355097,0.0,9186.977817729952
79,buy,146.74046084582807,0.0,9040.237356884125
80,buy,147.78030762910842,0.0,8892.457049255016
81,buy,147.89760567843913,0.0,8744.559443576576
82,buy,147.74964698886288,0.0,8596.809796587713
83,buy,147.1425569534302,0.0,8449.667239634284
84,sell,147.24383041878582,4.177529582442049,8596.91107005307
85,sell,147.8943418943882,3.2236016703128527,8744.805411947458
86,sell,145.8485050201416,1.678956578239598,8890.6539169676
87,sell,146.1305249154568,0.5940706479979884,9036.784441883057
90,sell,144.80946230595663,-0.7898602090994136,9181.593904189014
92,sell,149.64633402228355,2.2110302336536733,9331.240238211298
93,sell,147.236636428833,0.27620129591938053,9478.476874640131
96,sell,143.21434546363952,-2.402960548074904,9621.69122010377
