Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2021-10-12,20.828,21.056999,20.528,20.671,162134000.0,2021,10,12,20.7504002,20.6158001,21.2703,21.21124004,45.52687269788191,-0.2393919332364191,20.801743674304987,22.832279997715546,19.70832000228445,1359413000.0,-3.6573048754602,56.52657673535838,162.50793896535006,0.7069999285714287,20.575,21.063,20.511,20.695,163388000.0,20.695
2021-10-13,20.918,20.99,20.713,20.939,180652000.0,2021,10,13,20.7944002,20.6130001,21.191750000000003,21.22966004,38.42930450827097,-0.2402423382347507,20.800452350241248,22.70523463299635,19.67826536700365,1197279000.0,-9.344936219587328,55.53141995889889,162.08542012045783,0.6902141428571432,20.828,21.056999,20.528,20.671,162134000.0,20.671
2021-10-14,21.288,21.755,21.122,21.746,243589000.0,2021,10,14,20.8422002,20.6552001,21.12165,21.252140040000004,35.20614181931285,-0.2167918881538497,20.80196044686897,22.53774890659638,19.705551093403617,1377931000.0,-16.547074338026,52.018860880124464,168.56492062018413,0.6669284285714289,20.918,20.99,20.713,20.939,180652000.0,20.939
2021-10-15,21.81,21.931,21.662,21.862,226994000.0,2021,10,15,20.9764,20.7582001,21.09685,21.28158004,47.02011260983587,-0.1315723971998252,20.81561593309842,22.44613242433965,19.747567575660348,1621520000.0,-4.133446104373937,54.94126205230008,166.44580471832865,0.6808570000000004,21.288,21.755,21.122,21.746,243589000.0,21.746
2021-10-18,21.749,22.291,21.644,22.222,189494000.0,2021,10,18,21.1826,20.8702001,21.09495,21.30608004,51.899924040660615,-0.0540520279657634,20.829533067914756,22.439569448257345,19.750330551742657,1848514000.0,1.4593699789242802,57.94362166319752,161.72369315603558,0.6460713571428577,21.81,21.931,21.662,21.862,226994000.0,21.862
2021-10-19,22.276,22.379,22.037001,22.29,161473000.0,2021,10,19,21.488,21.1192001,21.1504,21.343200040000003,66.15057639424116,0.0360172302998549,20.84482383591633,22.58650795577209,19.71429204422791,2038008000.0,10.042613157043998,52.80433638193438,154.7576502967764,0.620214214285715,21.749,22.291,21.644,22.222,189494000.0,22.222
2021-10-20,22.305,22.433,21.982,22.103,146276000.0,2021,10,20,21.8118,21.3031001,21.2026,21.38310004,69.2675421571214,0.1115983616441447,20.85822136586887,22.72654783637771,19.678652163622285,2199481000.0,16.07080025269623,56.56639682982815,145.07774798283157,0.6053570000000007,22.276,22.379,22.037001,22.29,161473000.0,22.29
2021-10-21,22.097,22.711,22.083,22.692,187590000.0,2021,10,21,22.0446,21.4434001,21.2107,21.426440040000003,65.1122182993165,0.1546251926216442,20.86858798750372,22.7527870470346,19.6686129529654,2053205000.0,16.318495002625035,55.24654536147674,135.2190539145499,0.5983570000000008,22.305,22.433,21.982,22.103,146276000.0,22.103
2021-10-22,22.823,23.13,22.561,22.726,249384000.0,2021,10,22,22.2338,21.6051,21.2212,21.48630004,68.9246820944557,0.2335593172607524,20.887856702770872,22.80210548257713,19.640294517422877,2240795000.0,22.1823025948742,50.83247115402353,120.52379772086984,0.5963570000000006,22.097,22.711,22.083,22.692,187590000.0,22.692
2021-10-25,22.973,23.355,22.77,23.166,230235000.0,2021,10,25,22.4066,21.7946,21.25345005,21.54272004,85.84768398099429,0.2954528984764515,20.913321928591422,22.93153558781733,19.575364512182677,2490179000.0,33.47562630335689,52.69697392238368,107.48031824606088,0.5522141428571433,22.823,23.13,22.561,22.726,249384000.0,22.726
2021-10-26,23.989,25.259,23.924,24.717,485898000.0,2021,10,26,22.5954,22.0417,21.32875005,21.60228004,84.8344701901616,0.3756777510132352,20.941769857074927,23.20688043292427,19.45061966707573,2720414000.0,36.36486737368815,53.5196543577793,95.3861878332184,0.5317141428571434,22.973,23.355,22.77,23.166,230235000.0,23.166
2021-10-27,24.474,25.09,24.282,24.451,245990000.0,2021,10,27,23.0808,22.4463,21.52965005,21.69762004,88.6324144518506,0.5579772480034428,21.03977425707017,23.915196953672435,19.14410314632756,3206312000.0,51.01720827631971,55.209656110971416,83.2768047582009,0.6354998571428576,23.989,25.259,23.924,24.717,485898000.0,24.717
2021-10-28,24.878,24.95,24.523,24.941,234204000.0,2021,10,28,23.550400000000003,22.7975,21.72635005,21.79748004,83.16304849448953,0.6732264009387521,21.08402437732908,24.39257028993757,19.06012981006243,2960322000.0,41.484100293757606,48.19996657491285,74.11625877643642,0.648785571428572,24.474,25.09,24.282,24.451,245990000.0,24.451
2021-10-29,25.00099945,25.709,25.0,25.567,292503000.0,2021,10,29,24.0002,23.117,21.93760005,21.91550002,88.51199400299856,0.7949375446807885,21.13107841413578,24.917783904264898,18.957416195735103,3194526000.0,40.91357030129389,48.32262011203587,66.96503447228925,0.6536427142857146,24.878,24.95,24.523,24.941,234204000.0,24.941
2021-11-01,25.649,25.894,25.227,25.827,265740000.0,2021,11,1,24.5684,23.4875,22.17885005,22.03088002,91.8125643666324,0.9311734830008368,21.197652105110024,25.51181643359413,18.845883666405868,3487029000.0,49.59966896544654,49.48225674864029,58.84240761542115,0.6690712857142861,25.00099945,25.709,25.0,25.567,292503000.0,25.567
2021-11-02,25.822,26.678,25.8,26.401,294112000.0,2021,11,2,25.1006,23.848000000000003,22.48360005,22.13110002,92.52721873968991,1.048040118630496,21.259922803099933,25.98489695206059,18.982303147939408,3752769000.0,50.88902166112796,50.97319841906353,48.815016883677366,0.6789285000000002,25.649,25.894,25.227,25.827,265740000.0,25.827
2021-11-03,26.67,26.784,26.235,26.598,239910000.0,2021,11,3,25.4374,24.2591,22.78110005,22.21996002,92.88630653266335,1.1734479941964049,21.33533749827702,26.555670486007138,19.00652961399286,4046881000.0,56.51828860475842,51.99724284551301,35.305671498900544,0.7188570714285716,25.822,26.678,25.8,26.401,294112000.0,26.401
2021-11-04,27.229,31.365,27.118,29.801,1153631000.0,2021,11,4,25.8668,24.7086,23.07600005,22.31606002,92.13268496005564,1.2740445007600485,21.39756425922849,27.08056302630067,19.07143707369933,4286791000.0,51.33204566010468,53.67972376030661,27.160294845365527,0.6997856428571431,26.67,26.784,26.235,26.598,239910000.0,26.598
2021-11-05,30.187,31.4,29.41,29.752,851260000.0,2021,11,5,26.838800000000003,25.4195,23.5123,22.46782002,94.87846240814024,1.5938503734152114,21.84966014975797,28.40241820328561,18.622181796714397,5440422000.0,65.9951077995878,39.18854418947495,22.188790626905096,1.0210713571428571,27.229,31.365,27.118,29.801,1153631000.0,29.801
2021-11-08,30.149,31.1,29.907,30.804,503101000.0,2021,11,8,27.6758,26.1221,23.958350000000003,22.6215,94.11764705882358,1.822338161126062,22.15138943630025,29.41349224909807,18.503207750901936,4589162000.0,58.24914044309634,50.36451274872192,17.847239602428097,1.1169999285714285,30.187,31.4,29.41,29.752,851260000.0,29.752
2021-11-09,32.282,32.31,29.964,30.657,646746000.0,2021,11,9,28.6712,26.8859,24.4638,22.78486,94.7257827274638,2.0645056510861224,22.34233541762392,30.489309232902187,18.43829076709781,5092263000.0,52.3972602739726,47.945211487623176,14.181979552247132,1.1888571428571428,30.149,31.1,29.907,30.804,503101000.0,30.804
2021-11-10,29.356,30.85,28.778,29.459,636206000.0,2021,11,10,29.5224,27.479900000000004,24.9631,22.94424,95.12555391432797,2.218984389361537,22.57170601805521,31.31160171797708,18.61459828202292,4445517000.0,53.27687577539242,43.05518096984734,11.054518967342572,1.3242142857142858,32.282,32.31,29.964,30.657,646746000.0,30.657
2021-11-11,30.468,30.59,29.777,30.39,332172000.0,2021,11,11,30.094600000000003,27.9807,25.389100000000003,23.08572,83.54317438286907,2.219160216906534,22.753666635014078,31.744068512903908,19.034131487096097,3809311000.0,40.72962017715058,45.37356753240253,8.636990561341294,1.4273571428571432,29.356,30.85,28.778,29.459,636206000.0,29.459
2021-11-12,30.01,30.68,29.63,30.39,413054000.0,2021,11,12,30.2124,28.5256,25.8213,23.2447,84.88710852148583,2.268276204676468,22.857569889569167,32.30744075832788,19.33515924167212,4141483000.0,36.3105378437576,46.66828912144073,7.935330945161809,1.4675000000000005,30.468,30.59,29.777,30.39,332172000.0,30.39
2021-11-15,30.552,30.644,29.247,30.025,384909000.0,2021,11,15,30.34,29.0079,26.2477,23.40458,84.25644916540215,2.280908090197908,22.982894570876383,32.75911876689672,19.736281233103277,4141483000.0,34.9375178861013,45.4354669464848,7.505057850446348,1.497571428571429,30.01,30.68,29.63,30.39,413054000.0,30.39
2021-11-16,29.759,30.39,29.706,30.203,264484000.0,2021,11,16,30.1842,29.4277,26.63785,23.54822,78.3607608463347,2.2356948028976333,23.09041066509664,33.06821583308979,20.20748416691021,3756574000.0,26.566354218056222,43.19190922545634,8.92551534752306,1.4478571428571432,30.552,30.644,29.247,30.025,384909000.0,30.025
2021-11-17,30.418,30.509,28.8,29.261,428508000.0,2021,11,17,30.093400000000003,29.8079,27.0335,23.69904,81.02481121898597,2.1889927139541427,23.16425337515462,33.30937425656463,20.75762574343536,4021058000.0,26.307951950759456,43.95909858036335,10.18492462417394,1.4390000000000005,29.759,30.39,29.706,30.203,264484000.0,30.203
2021-11-18,32.367,32.76,31.321,31.675,781711000.0,2021,11,18,30.053800000000003,30.0742,27.3914,23.83748,72.2176506891586,2.052311673169882,23.265107407599224,33.28834687819135,21.494453121808643,3592550000.0,26.03015545982393,44.58231878628956,11.468529517137805,1.5254285714285718,30.418,30.509,28.8,29.261,428508000.0,29.261
2021-11-19,32.243,33.088001,31.905,32.985,533867000.0,2021,11,19,30.3108,30.261600000000005,27.84055,24.02744,76.53344917463076,2.114407021009334,23.51146209127774,33.59713105676956,22.08396894323044,4374261000.0,29.27305185369701,48.01345123925769,13.192062274929306,1.7205,32.367,32.76,31.321,31.675,781711000.0,31.675
2021-11-22,33.517,34.647,31.9,31.956,754335000.0,2021,11,22,30.8298,30.584900000000005,28.353500000000004,24.23758,78.49522292993629,2.2434628403022465,23.697271096411352,34.0187395499127,22.688260450087306,4908128000.0,28.969519229673445,48.008696170068205,14.952816803490604,1.773785785714286,32.243,33.088001,31.905,32.985,533867000.0,32.985
2021-11-23,31.535,32.36,30.88,31.746,532163000.0,2021,11,23,31.216,30.7001,28.793,24.43366,71.34076066077603,2.236922951254787,23.919974597137852,34.117335510801254,23.46866448919874,4153793000.0,29.84420530880812,42.52115787127714,15.906510924028858,1.907285785714286,33.517,34.647,31.9,31.956,754335000.0,31.956
2021-11-24,31.461,32.855,30.928,32.674,435162000.0,2021,11,24,31.5246,30.809000000000005,29.14445,24.62374,69.7574455019957,2.189554970362849,24.066074939202647,34.25978704090998,24.02911295909002,3621630000.0,20.178771028163027,43.20558595861522,18.341741471375997,1.973785785714286,31.535,32.36,30.88,31.746,532163000.0,31.746
2021-11-26,32.6,32.71,31.35,31.503,283069000.0,2021,11,26,32.2072,31.1305,29.5556,24.8304,63.35906258718497,2.2015196010559173,24.19550496506095,34.39708869667176,24.71411130332824,4056792000.0,6.009760577188692,44.78683318731769,21.974059609172595,1.770928642857143,31.461,32.855,30.928,32.674,435162000.0,32.674
2021-11-29,32.366,33.412,32.035999,33.376,454964000.0,2021,11,29,32.1728,31.2418,29.8837,25.01562,57.37263157894737,2.092391951586883,24.266286388644456,34.277113783572474,25.49028621642752,3773723000.0,5.421512005069247,38.215451797564405,26.82351755317148,1.725928642857143,32.6,32.71,31.35,31.503,283069000.0,31.503
2021-11-30,33.169,33.353,31.864,32.676,622066000.0,2021,11,30,32.251,31.5404,30.27415,25.245140000000003,60.1291745431632,2.1324612638081604,24.405933244522785,34.43406241178041,26.11423758821959,4228687000.0,9.35123728558334,38.11275933858764,30.83492105355677,1.7660000714285713,32.366,33.412,32.035999,33.376,454964000.0,33.376
2021-12-01,33.219,33.289,31.38,31.435,484368000.0,2021,12,1,32.395,31.8055,30.6166,25.4764,57.61944297682844,2.083712590889693,24.57571314257462,34.33976896148832,26.89343103851168,3606621000.0,4.365843266394168,39.92464462433468,35.8116722724259,1.7064286428571422,33.169,33.353,31.864,32.676,622066000.0,32.676
2021-12-02,31.214,32.478,31.025,32.126,472890000.0,2021,12,2,32.3328,31.928700000000003,30.8683,25.68018,57.43304243153776,1.9227760227525508,24.683634610750246,34.02977454604077,27.706825453959222,3122253000.0,10.279428065940577,37.24026479368381,39.47900561796012,1.694785785714285,33.219,33.289,31.38,31.435,484368000.0,31.435
2021-12-03,32.0,32.129,30.13,30.693,544325000.0,2021,12,3,32.2232,32.2152,31.1447,25.88388,56.650321789764014,1.8298966485966448,24.79622573761712,33.62808835591946,28.66131164408054,3595143000.0,7.850637953734553,34.06377670324019,43.054525080760406,1.7177857857142853,31.214,32.478,31.025,32.126,472890000.0,32.126
2021-12-06,29.88,30.241,28.038,30.037001,658938000.0,2021,12,6,32.0612,32.117,31.1893,26.0481,51.04590956161547,1.6219609947867824,24.897152942328773,33.60211683820745,28.776483161792545,3050818000.0,5.796463485220272,35.762851597613746,47.27192268295192,1.7855714999999994,32.0,32.129,30.13,30.693,544325000.0,30.693
2021-12-07,30.957,32.449,30.651,32.427,593053000.0,2021,12,7,31.393400199999995,31.8222001,31.20355005,26.20722004,50.040609775352586,1.3882341549666712,25.001486464441392,33.58377138499359,28.82332871500641,2391880000.0,-1.5348872054049616,40.55833940591333,53.27430757022324,1.8754286428571425,29.88,30.241,28.038,30.037001,658938000.0,30.037001
2021-12-08,31.999,32.29,31.421,31.826,475551000.0,2021,12,8,31.3436002,31.8693001,31.28470005,26.42256004,56.54579780383775,1.3799496946521472,25.134711662335263,33.71764877875666,28.851751321243334,2984933000.0,7.357775871926808,45.75113636363636,56.64371161479641,1.9988571428571424,30.957,32.449,30.651,32.427,593053000.0,32.427
2021-12-09,31.734,32.205,30.428,30.49,488507000.0,2021,12,9,31.4218002,31.877300100000003,31.34315005,26.64510004,57.70409175275928,1.3097900782273548,25.22961241086654,33.768761549144024,28.91753855085598,2509382000.0,6.528353066236574,46.43157508888971,60.14891559323704,1.9486428571428565,31.999,32.29,31.421,31.826,475551000.0,31.826
