Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,Close_yes,Open_yes,High_yes,Low_yes,Relative_Performance,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Prev_Close
2020-03-30,6.384,6.649,6.33975,6.63975,602252000.0,2020,3,30,6.0873,5.6316749999999995,6.0362124999999995,6.346120006000001,6.31825,6.25,6.578,6.217,0.05088434297471611,50.93024215172642,-0.07139793691615015,6.3502165647612285,6.022662500000001,0.658409813165303,7.339482126330607,4.705842873669395,2338584000.0,1.3705170331676342,45.412418906394834,181.5842190531787,0.6358392857142857,6.31825
2020-03-31,6.68,6.885,6.44375,6.59,949960000.0,2020,3,31,6.3518,5.8046500000000005,6.022662500000001,6.354450006,6.63975,6.384,6.649,6.33975,-0.007492751986144075,53.72731624526742,-0.02388145569840816,6.356966137006881,6.0198,0.6556701904801006,7.331140380960202,4.7084596190397985,1388624000.0,5.2926437881816355,45.73069451873541,169.0484269033385,0.6343035714285714,6.63975
2020-04-01,6.39125,6.53825,6.032,6.07675,656912000.0,2020,4,1,6.423900000000001,5.920475000000001,6.0198,6.361610005999999,6.59,6.68,6.885,6.44375,-0.07788315629742038,56.077398255813954,-0.027324309950053305,6.351615817919061,5.968,0.6036382401736993,7.1752764803473985,4.760723519652601,731712000.0,7.325722193392149,43.86207691864153,155.90317713201435,0.619392857142857,6.59
2020-04-02,6.106,6.4,6.05775,6.38675,675764000.0,2020,4,2,6.411150000000001,6.0211,5.968,6.359175006,6.07675,6.39125,6.53825,6.032,0.05101411116139398,53.51631976157285,-0.004980970005329155,6.35229261230555,5.945725,0.5777316515340069,7.101188303068014,4.790261696931987,1407476000.0,4.460457360647932,44.4735588375417,148.6631534978427,0.5997142857142855,6.07675
2020-04-03,6.349,6.39075,5.95975,6.09775,663212000.0,2020,4,3,6.402299999999999,6.12735,5.945725,6.361855006000001,6.38675,6.106,6.4,6.05775,-0.045249931498806184,63.56266057664857,-0.010472872099858144,6.347569689062683,5.9180625,0.5549821172735403,7.02802673454708,4.808098265452919,744264000.0,9.642763845350052,41.68952455590388,138.60075548061351,0.5468571428571428,6.38675
2020-04-06,6.381,6.747,6.32325,6.71,727884000.0,2020,4,6,6.3582,6.2227500000000004,5.9180625,6.3573800060000005,6.09775,6.349,6.39075,5.95975,0.10040588741749024,64.30049784639479,0.034184160414112874,6.354802875010307,5.9467625,0.5810739743365869,7.108910448673174,4.784614551326826,1472148000.0,16.21299818091616,46.04266578468664,127.00860401497376,0.5399107142857142,6.09775
2020-04-07,6.9325,6.95625,6.4325,6.47575,784520000.0,2020,4,7,6.372249999999999,6.362025,5.9467625,6.366340006000001,6.71,6.381,6.747,6.32325,-0.0349105812220567,66.1811272957568,0.05009569118244794,6.3573497038183815,5.9442,0.5784877381223351,7.101175476244671,4.78722452375533,687628000.0,23.825468243172544,46.47902061316316,113.47802636824515,0.5119821428571428,6.71
2020-04-08,6.58525,6.69875,6.515,6.67375,542444000.0,2020,4,8,6.3494,6.38665,5.9442,6.375755004,6.47575,6.9325,6.95625,6.4325,0.030575609002818194,65.74128076519304,0.07778597094473394,6.36189031516613,5.969799999999999,0.5995665627416988,7.168933125483397,4.770666874516602,1230072000.0,18.810826692129726,45.48459363178966,101.39631134574148,0.4862321428571429,6.47575
2020-04-09,6.8,6.823,6.5105,6.57375,525564000.0,2020,4,9,6.4688,6.439975,5.969799999999999,6.385245004,6.67375,6.58525,6.69875,6.515,-0.014984079415620855,66.99952448882547,0.09061697678761149,6.364795672261089,6.0281,0.598726666395136,7.225553332790272,4.830646667209728,704508000.0,16.409861325115564,43.255007704160256,90.82988874477456,0.46357142857142863,6.67375
2020-04-13,6.51375,6.755,6.425,6.74625,398408000.0,2020,4,13,6.5062,6.45425,6.0281,6.393950004000001,6.57375,6.8,6.823,6.5105,0.0262407301768397,66.99167657550535,0.1133977708036813,6.368720356273655,6.0643625,0.6198636706811137,7.304089841362227,4.824635158637772,1102916000.0,21.079893266363204,42.81117563961702,75.81493336062948,0.4550714285714287,6.57375
