Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-04-30,278.42999,281.63,273.41,274.97,5898900.0,2020,4,30,265.60600400000004,258.875002,257.4920008,266.50860164,55.883978928872956,1.667033152223837,275.8988308481454,257.4920008,13.192865063154034,283.8777309263081,231.10627067369197,-51152700.0,8.234482409745961,69.02025789369597,83.92280634447687,11.380713571428577,278.45001,285.0,276.26001,283.69,8505000.0,283.69
2020-05-01,268.70001,273.98999,267.20999,268.73999,5067800.0,2020,5,1,269.428004,261.69600299999996,259.8100008,265.11680163999995,52.41272262307614,2.57157060154384,275.8887143778904,259.8100008,11.856222192190469,283.52244518438096,236.09755641561907,-57051600.0,3.4897417398959685,64.47033189551426,86.57358686051774,11.523570714285722,278.42999,281.63,273.41,274.97,5898900.0,274.97
2020-05-04,265.5,270.070007,263.01001,269.26001,3747100.0,2020,5,4,271.424,262.573002,261.3030003,263.60260124,52.33563601519343,2.7539672857513438,275.82244322491175,261.3030003,10.925414389889553,283.15382907977914,239.4521715202209,-62119400.0,3.403229323003745,63.201224703987066,89.96547997165034,11.102857857142865,268.70001,273.98999,267.20999,268.73999,5067800.0,268.73999
2020-05-05,276.84,277.85001,273.29999,273.98001,3926200.0,2020,5,5,272.252002,264.326003,262.91450085,262.19380123999997,49.32867856090873,2.906969505164568,275.7777676655527,262.91450085,9.431541825810898,281.77758450162185,244.05141719837823,-58372300.0,-3.7083908863194197,59.24764432585173,94.11341217958523,10.728571214285717,265.5,270.070007,263.01001,269.26001,3747100.0,269.26001
2020-05-06,276.95999,276.95999,271.54999,272.44,3261900.0,2020,5,6,274.12800200000004,267.189003,263.31650135,261.18000124,58.430114451318666,3.3702393978084046,275.7650347901688,263.31650135,9.73378652624175,282.7840744024835,243.84892829751652,-54446100.0,10.369545765944988,59.64223800491828,91.5779216576335,10.263571214285713,276.84,277.85001,273.29999,273.98001,3926200.0,273.98001
2020-05-07,277.81,282.45001,277.23999,278.47,4371400.0,2020,5,7,271.878002,268.742003,263.984502,260.57100104,64.10369462832878,3.5719430527537384,275.7455837990836,263.984502,9.884999478319733,283.7545009566395,244.21450304336057,-57708000.0,13.712878756008232,56.520411826622585,87.81288271051831,9.672856928571429,276.95999,276.95999,271.54999,272.44,3261900.0,272.44
2020-05-08,283.39999,283.42001,279.5,282.44,3215400.0,2020,5,8,272.57800199999997,271.003003,264.3605015,260.17960086000005,61.03028857619841,4.170292719132533,275.76677606866156,264.3605015,10.298275065504852,284.9570516310097,243.7639513689903,-53336600.0,16.54118347429755,57.3655543824793,85.16879391146735,9.392141928571428,277.81,282.45001,277.23999,278.47,4371400.0,278.47
2020-05-11,279.5,282.81,277.63,281.23001,4056900.0,2020,5,11,275.31800400000003,273.371002,265.012502,260.11200066,69.29262470159567,4.908255646134364,275.8047404555433,265.012502,11.021521162088773,287.0555443241775,242.96945967582243,-50121200.0,21.238315076224406,60.13158538445188,81.72556162349272,9.00999978571428,283.39999,283.42001,279.5,282.44,3215400.0,282.44
2020-05-12,280.45001,282.32999,272.10999,272.10999,4031400.0,2020,5,12,277.71200400000004,274.98200299999996,265.9070025,259.93160086,74.10642300456864,5.3339737724618885,275.84340519618195,265.9070025,11.589951014158078,289.08690452831615,242.72710047168383,-54178100.0,27.019159276141067,58.331300765469315,76.70119805338331,8.835000499999994,279.5,282.81,277.63,281.23001,4056900.0,281.23001
2020-05-13,272.29999,276.070007,264.19,269.16,4802100.0,2020,5,13,277.338,275.733001,265.97650200000004,259.23900086,60.55847712205729,4.879204626166256,275.8171511145732,265.97650200000004,11.624447538839128,289.2253970776783,242.7276069223218,-58209500.0,19.66681470522376,58.65241662052949,75.42081643368988,8.618571928571425,280.45001,282.32999,272.10999,272.10999,4031400.0,272.10999
2020-05-14,270.20001,277.56,263.95999,277.31,6294200.0,2020,5,14,276.682,274.28000099999997,266.57750150000004,258.78220086,59.00108040035724,4.231973703841561,275.76185030100567,266.57750150000004,11.45300441334792,289.48351032669586,243.67149267330421,-63011600.0,10.886032829219776,59.350823531355836,75.58058546746196,8.956428857142853,272.29999,276.070007,264.19,269.16,4802100.0,269.16
2020-05-15,276.040009,279.14001,273.29001,278.94,3813300.0,2020,5,15,276.45,274.514001,268.105002,258.28120106,61.721210448475865,4.3267987794693,275.77852516533136,268.105002,10.682111210117474,289.469224420235,246.74077957976507,-56717400.0,13.432840954707304,54.7086876808205,74.8741257136488,9.427858857142853,270.20001,277.56,263.95999,277.31,6294200.0,277.31
2020-05-18,285.45999,292.089996,285.0,289.89999,6037800.0,2020,5,18,275.75,275.534002,269.053502,258.04540086000003,59.28763191192691,4.481812171719298,275.7990214320623,269.053502,10.763653208149977,290.58080841629993,247.52619558370003,-52904100.0,10.253672458550856,57.19743318526338,72.50533226470776,9.348573857142854,276.040009,279.14001,273.29001,278.94,3813300.0,278.94
2020-05-19,289.17001,297.82001,287.48999,290.73001,5211800.0,2020,5,19,277.48399600000005,277.598,270.9620015,258.10320046,64.91040431155014,5.426487824659148,275.94229840018215,270.9620015,10.913278514777934,292.78855852955587,249.13544447044413,-46866300.0,14.47074710345084,61.87286842201838,68.11702796117922,9.595716428571425,285.45999,292.089996,285.0,289.89999,6037800.0,289.89999
2020-05-20,295.75,301.14999,295.39001,298.79999,4592200.0,2020,5,20,281.20799999999997,279.273,273.2310015,258.67760046,55.28687647425918,6.1709904265389355,276.0708699710803,273.2310015,9.986111783085116,293.2032250661702,253.25877793382975,-41654500.0,10.316249947895754,58.18778875619755,67.48839068646217,8.876432857142857,289.17001,297.82001,287.48999,290.73001,5211800.0,290.73001
2020-05-21,299.37,299.92999,292.75,294.26001,3944100.0,2020,5,21,287.13599800000003,281.908999,275.325501,259.04220005999997,68.07218197837918,7.327724596940072,276.24367057932346,275.325501,10.74681265399501,296.81912630799,253.83187569200996,-37062300.0,15.690043986803639,62.18148470975491,65.34358511503463,8.88643142857143,295.75,301.14999,295.39001,298.79999,4592200.0,298.79999
