Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-16,131.0,138.67999,128.25,129.38,6619700.0,2020,3,16,136.46400020000002,136.7460001,136.843498925,138.76159911000002,50.84022685608586,-0.858194027688711,138.22928617346378,136.843498925,5.3825841320869925,147.60866718917399,126.07833066082603,-2884400.0,-2.1256224076143693,52.393710310105455,185.33072048994583,7.459999857142857,132.95,139.37,128.50999,139.37,6841700.0,139.37
2020-03-17,133.21001,143.59,131.10001,143.2,8909200.0,2020,3,17,135.1960002,136.4000001,136.25649892500002,138.70499891,46.224172494528055,-1.3723423735899303,137.96784669529964,136.25649892500002,5.5298044202585155,147.31610776551705,125.19689008448299,-9504100.0,-0.49572781425375595,46.624588492556725,181.8064288351697,7.924999857142859,131.0,138.67999,128.25,129.38,6619700.0,129.38
2020-03-18,136.34,144.0,134.080002,143.089996,6734600.0,2020,3,18,135.5980002,137.6890001,136.36599919999998,138.93359891,55.26745568904061,-0.6570757799389071,138.16792962364187,136.36599919999998,5.649278865913963,147.66455693182792,125.06744146817205,-594900.0,5.409630567787431,43.861665402799375,167.78316098708527,8.674999571428573,133.21001,143.59,131.10001,143.2,8909200.0,143.2
2020-03-19,142.49001,142.98,131.12,133.089996,6554800.0,2020,3,19,136.21199860000002,137.9599997,136.478999,139.15019903,57.93740752774811,-0.09796892987111505,138.3062142899493,136.478999,5.764693505891063,148.0083860117821,124.94961198821787,-7329500.0,7.4194833964009375,41.343926097173934,148.43549512790045,8.982142500000004,136.34,144.0,134.080002,143.089996,6734600.0,143.089996
2020-03-20,132.16,132.25,120.23,122.4,9113500.0,2020,3,20,137.62599840000001,137.2540003,136.03349880000002,139.16179914999998,53.68253561770603,-0.4565265951471247,138.1673745651213,136.03349880000002,5.658885020587671,147.35126884117537,124.71572875882468,-13884300.0,12.442326299453518,36.458003138434485,115.2450088777415,9.288570785714288,142.49001,142.98,131.12,133.089996,6554800.0,133.089996
2020-03-23,120.95,126.88,117.059998,119.050003,7299300.0,2020,3,23,134.2319984,135.3479993,135.05149915,138.93559895,44.69943383251466,-1.5850084742648107,137.60469461369547,135.05149915,6.236330164748841,147.52415947949768,122.57883882050233,-22997800.0,-0.5513490198304581,39.40306485510428,105.5860494309623,9.716427642857147,132.16,132.25,120.23,122.4,9113500.0,122.4
2020-03-24,123.24,124.6,117.41,122.89,6827300.0,2020,3,24,132.165999,133.6809996,134.0964998,138.59819901,44.3303161510212,-2.718320151929504,137.08909481266278,134.0964998,7.134612529117983,148.36572485823598,119.82727474176404,-30297100.0,-6.314342330724622,39.08847749361704,101.37288913355538,9.920714214285718,120.95,126.88,117.059998,119.050003,7299300.0,119.050003
2020-03-25,120.12,126.14,119.21,121.94,6472100.0,2020,3,25,128.103999,131.8509996,133.4704998,138.29599901,40.60385060541502,-3.268939852072151,136.72939203966726,133.4704998,7.550441108983399,148.5713820179668,118.3696175820332,-23469800.0,-11.997343850050509,37.1356809351116,106.33562495129978,9.680714214285716,123.24,124.6,117.41,122.89,6827300.0,122.89
2020-03-26,123.29,135.74001,121.94,134.35001,6723600.0,2020,3,26,123.8739998,130.0429992,132.89099979999997,137.95599901000003,40.29215045565078,-3.7388676530150065,136.3825566235361,132.89099979999997,7.978281500187035,148.84756280037405,116.9344367996259,-29941900.0,-11.420915494068035,34.47276096808194,112.69022530387561,9.862857071428575,120.12,126.14,119.21,121.94,6472100.0,121.94
2020-03-27,130.64999,137.61,130.2,134.11,4717400.0,2020,3,27,124.12600259999999,130.8760005,133.1490003,137.82999941000003,46.61073570202388,-3.0744642189615377,136.33421553530155,133.1490003,7.935617789476308,149.02023587895263,117.27776472104739,-23218300.0,-4.563307085753333,33.328727511142525,114.97122299726021,10.362143500000006,123.29,135.74001,121.94,134.35001,6723600.0,134.35001
2020-03-30,133.87,141.77,133.50999,138.44,5057400.0,2020,3,30,126.4680026,130.3500005,133.5480003,137.68999941,49.19005952509116,-2.5380296855126403,136.29770935747234,133.5480003,7.7628660589148835,149.07373241782977,118.02226818217025,-27935700.0,-2.3002771585967983,37.67060789628351,115.53158734818496,10.30928564285715,130.64999,137.61,130.2,134.11,4717400.0,134.11
2020-03-31,136.96001,142.020004,134.52,138.72,7560100.0,2020,3,31,130.346002,131.2560005,133.8280003,137.63019961,48.60050919073604,-1.7434096985026883,136.33475329079968,133.8280003,7.8366282228640545,149.5012567457281,118.1547438542719,-22878300.0,-0.11004951099916509,38.70544135779753,115.60273445613123,10.384287071428579,133.87,141.77,133.50999,138.44,5057400.0,138.44
2020-04-01,134.0,137.19,132.98,136.42,3297900.0,2020,4,1,133.512002,130.8080005,134.2485003,137.61299961,49.33237280220884,-1.0786400824863165,136.39485529105372,134.2485003,7.863510084455709,149.9755204689114,118.52148013108857,-15318200.0,0.12127196126621677,36.79173990291705,115.2338413241059,10.602144500000005,136.96001,142.020004,134.52,138.72,7560100.0,138.72
2020-04-02,135.35001,142.8,133.029999,142.17999,4725000.0,2020,4,2,136.408002,130.14100090000002,134.0505003,137.52319961,56.070511870199596,-0.7289927755505801,136.3951286696936,134.0505003,7.75003249057501,149.55056528115003,118.55043531884999,-18616100.0,0.4925756042337467,31.903185278694163,113.2032742949838,10.005715642857151,134.0,137.19,132.98,136.42,3297900.0,136.42
2020-04-03,140.92,144.60001,138.46001,139.66,4013200.0,2020,4,3,137.973998,131.0500003,134.1520003,137.53559941,51.79966046882745,0.012741413935259516,136.4838570216875,134.1520003,7.846809112379766,149.84561852475952,118.45838207524046,-13891100.0,2.5128201998685498,30.88644084198175,111.5243953719135,9.75000121428572,135.35001,142.8,133.029999,142.17999,4725000.0,142.17999
2020-04-06,142.27,143.5,140.3,141.61,4159900.0,2020,4,6,139.083998,132.77600030000002,134.06199980000002,137.50459921,57.280453876525826,0.3927021445701939,136.52470187082784,134.06199980000002,7.768508983800181,149.59901776760037,118.52498183239966,-17904300.0,4.501231170005088,35.98693117565523,109.78267262667813,9.394286928571434,140.92,144.60001,138.46001,139.66,4013200.0,139.66
2020-04-07,143.13,144.8,140.050003,141.88,3900600.0,2020,4,7,139.717998,135.032,134.3564998,137.55539907,48.64634755453919,0.8414724931352282,136.59159705721862,134.3564998,7.944324826905304,150.2451494538106,118.46785014618939,-13744400.0,-0.07428806221298621,38.233587701436356,111.37895159060527,8.653572642857148,142.27,143.5,140.3,141.61,4159900.0,141.61
