Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,Close_yes,Open_yes,High_yes,Low_yes,Relative_Performance,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Prev_Close
2020-04-01,153.0,157.75,150.82001,152.11,57969900.0,2020,4,1,154.134002,147.545002,150.9445019,165.09220051,157.71001,159.39999,164.78,156.56,-0.035508272429885746,55.54988309864121,-3.1828947433654378,160.59189123301397,150.0225019,9.384953038747753,168.79240797749551,131.2525958225045,-287175600.0,2.5570553734164747,28.760892548064305,184.44201659324887,11.955716285714288,157.71001
2020-04-02,151.86,155.48,150.36,155.25999,49630700.0,2020,4,2,155.17200200000002,148.716003,150.0225019,164.80440051000002,152.11,153.0,157.75,150.82001,0.020708631911116715,48.231793842598385,-2.656443641907998,160.5083167310655,149.4720014,8.67803821612091,166.82807783224183,132.1159249677582,-237544900.0,-4.296691535489614,31.039085820138745,183.55598495692996,10.689287571428574,152.11
2020-04-03,155.10001,157.38,152.19,153.83,41243300.0,2020,4,3,155.002,149.971001,149.4720014,164.59560031,155.25999,151.86,155.48,150.36,-0.009210293005944226,61.656319282603896,-2.3277823670691475,160.42244675564615,149.0850009,8.27327196236095,165.6315448247219,132.5384569752781,-278788200.0,6.12929425721967,32.47843031494394,173.23532923562195,9.357859000000001,155.25999
2020-04-06,160.32001,166.5,157.58,165.27,67111700.0,2020,4,6,155.828,151.619,149.0850009,164.33780030999998,153.83,155.10001,157.38,152.19,0.0743678086199051,61.79660794980775,-1.1311641902914573,160.52179240602445,149.81750089999997,9.030242751678411,167.8779864033568,131.75701539664314,-211676500.0,14.483912360255214,36.54519781845445,160.890380608178,9.370001857142856,153.83
2020-04-07,169.59,170.0,163.25999,163.49001,62769000.0,2020,4,7,156.836,154.548,149.81750089999997,164.34240045,165.27,160.32001,166.5,157.58,-0.010770194227627483,65.42007479631361,-0.3227455709894116,160.57761670292538,149.9460014,9.212983316421758,168.3719680328435,131.5200347671565,-274445500.0,18.991844822700443,42.415109025454804,148.75100832866778,9.026430714285715,165.27
2020-04-08,165.67,166.67,163.5,165.13,48318200.0,2020,4,8,157.99200000000002,156.063001,149.9460014,164.36660065,163.49001,169.59,170.0,163.25999,0.010031132789092068,65.10781608132724,0.445134265455124,160.64258320340085,150.5210014,9.795465218216908,170.1119318364338,130.93007096356618,-226127300.0,13.952707613334209,42.11147581634901,140.83081200263015,8.457144999999999,163.49001
2020-04-09,166.36,167.37,163.33,165.14,51385100.0,2020,4,9,160.596,157.88400099999998,150.5210014,164.36000045,165.13,165.67,166.67,163.5,6.0558347968253656e-05,70.18155563466476,1.0424744875645615,160.70981869905356,151.82500149999998,9.924514661076797,171.67403082215358,131.9759721778464,-174742200.0,18.228404994891196,42.16725860301101,121.73531846172403,7.942858571428571,165.13
2020-04-13,164.35001,165.57001,162.3,165.50999,41905300.0,2020,4,13,162.57200200000003,158.787001,151.82500149999998,164.30200058999998,165.14,166.36,167.37,163.33,0.0022404626377618975,71.76124669214937,1.5281109067379077,160.76763644414703,152.159001,10.27875076077562,172.71650252155123,131.60149947844874,-132836900.0,23.491820430028113,41.890614190826085,91.54611287138633,7.60143,165.14
2020-04-14,169.0,173.75,168.0,173.7,52874300.0,2020,4,14,164.908,160.368,152.159001,164.15660039,165.50999,164.35001,165.57001,162.3,0.04948347830846944,69.91207280909096,2.5445150424806684,160.96123732872258,154.073001,10.557995698648103,175.1889923972962,132.9570096027038,-79962600.0,23.901410549997916,41.10252551414771,78.43344278751282,7.217144285714285,165.50999
2020-04-15,171.2,173.57001,169.24001,171.88,40940800.0,2020,4,15,166.594,161.71499999999997,154.073001,164.22600039,173.7,169.0,173.75,168.0,-0.0104778353483016,69.47566758780751,3.166660561453142,161.0863523240263,155.33850049999998,11.113573374910054,177.56564724982007,133.1113537501799,-120903400.0,20.123426406921187,41.41826781526326,68.62664892934102,6.829286428571426,173.7
2020-04-16,174.3,177.28,172.89999,177.039993,50479600.0,2020,4,16,168.271998,163.131999,155.33850049999998,164.17600039,171.88,171.2,173.57001,169.24001,0.030020904119153036,67.42715185805392,4.029632582739794,161.30861285303158,157.17050065,11.533452351649537,180.2374053532991,134.10359594670092,-70423800.0,22.592306059788985,43.09190937965271,61.882619265660885,6.519286428571426,171.88
2020-04-17,179.5,180.0,175.87,178.60001,52765600.0,2020,4,17,170.6539966,165.62499830000002,157.17050065,164.11440025,177.039993,174.3,177.28,172.89999,0.008811664379132722,76.17755951678964,4.784274324970227,161.55680541986737,158.96500065,11.949682699928944,182.8643660498579,135.06563525014212,-17658200.0,28.37608448682516,46.86404713933246,55.65697758975009,6.3207149999999945,177.039993
2020-04-20,176.63,178.75,174.99001,175.059998,36669600.0,2020,4,20,173.3459986,167.9590003,158.96500065,164.08840065,178.60001,179.5,180.0,175.87,-0.01982089474687032,65.38063009440664,5.0386020908206035,161.69016978556573,160.85050005,11.317993069025228,183.48648618805043,138.21451391194955,-54327800.0,22.310992293914264,51.063307444782716,51.188811200404814,5.810713571428565,178.60001
2020-04-21,173.5,173.67,166.11,167.82001,56203700.0,2020,4,21,175.25600020000002,170.0820001,160.85050005,163.91700061,175.059998,176.63,178.75,174.99001,-0.041357180867784615,59.550353126904646,4.602892869298017,161.78157821376868,162.44250055,9.768869350796399,181.9802392515928,142.90476184840722,-110531500.0,10.830898269624498,53.44786356450248,50.41170672379318,5.862856285714279,175.059998
2020-04-22,171.39,174.0,170.82001,173.52,34620200.0,2020,4,22,174.0800022,170.3370011,162.44250055,163.59560081,167.82001,173.5,173.67,166.11,0.033964900848236335,70.1867020076953,4.663770682984904,161.88841983534698,163.70150055,9.473826025778544,182.6491526015571,144.7538484984429,-75911300.0,19.980330010622925,52.67432229302674,47.64947963363896,5.80928485714285,167.82001
2020-04-23,174.11,175.059998,170.91,171.42,32790800.0,2020,4,23,174.4080022,171.3400001,163.70150055,163.29200081000002,173.52,171.39,174.0,170.82001,-0.01210235131396975,65.54445875978767,4.490797224386455,161.96988841351077,164.92650055,8.745700251274343,182.41790105254867,147.4351000474513,-108702100.0,24.365357654492414,52.84968566321051,40.84631367191635,5.739998999999996,173.52
2020-04-24,172.059998,174.56,170.71001,174.55,34277600.0,2020,4,24,173.2840036,171.9690001,164.92650055,163.03160081,171.42,174.11,175.059998,170.91,0.018259246295648346,69.29956009670643,4.553786141730853,162.08129350210476,165.84850054999998,8.73931698081981,183.3271345116396,148.36986658836037,-74424500.0,21.741337911821212,51.68312124012792,38.88421929656504,5.6442839999999945,171.42
2020-04-27,176.59,176.89999,173.3,174.050003,33194400.0,2020,4,27,172.4740016,172.9100001,165.84850054999998,162.82840061,174.55,172.059998,174.56,170.71001,-0.002864491549699255,60.27141755364069,4.51135563376161,162.18306208603406,167.0660007,8.03931787055499,183.14463644110998,150.98736495889,-107618900.0,14.86775561835157,54.38169905615102,39.87190141884341,4.996426142857138,174.55
2020-04-28,175.59,175.67,169.39,169.81,34392700.0,2020,4,28,172.2720026,173.76400139999998,167.0660007,162.63520047,174.050003,176.59,176.89999,173.3,-0.024360832674044874,56.99114092724355,4.088467040523483,162.24966738112713,167.5450007,7.894674458275061,183.33434961655013,151.75565178344988,-142011600.0,8.15945256894391,52.194579026643815,42.358833433572066,4.96356828571428,174.050003
2020-04-29,173.22,177.67999,171.88,177.42999,51286600.0,2020,4,29,172.6700006,173.37500140000003,167.5450007,162.32440027,169.81,175.59,175.67,169.39,0.04487362346151591,62.016405239625875,4.31841430176965,162.44481266934682,168.5309997,7.832905967682885,184.19681163536578,152.86518776463421,-90725000.0,14.842270868966306,51.927747166633544,42.738559155306184,5.298568285714282,169.81
2020-04-30,180.0,180.39999,176.23,179.21001,53875900.0,2020,4,30,173.45199860000002,173.93000039999998,168.5309997,162.12840007,177.42999,173.22,177.67999,171.88,0.01003223863113556,63.28612591385724,4.5913556112728315,162.6681960348869,169.8860002,7.157643705242604,184.20128761048522,155.5707127895148,-36849100.0,17.534651417994578,57.46199842481382,43.71013997617663,5.307853285714283,177.42999
2020-05-01,175.8,178.64,174.0099945,174.57001,39370500.0,2020,5,1,175.0100006,174.14700209999998,169.8860002,161.96700027,179.21001,180.0,180.39999,176.23,-0.02589141086482849,57.91682701264347,4.382732926567087,162.78296474572323,170.8515012,6.336117583591097,183.5237363671822,158.1792660328178,-76219600.0,17.143229688439654,57.56822326939698,45.56498935102661,5.4457108214285705,179.21001
2020-05-04,174.49001,179.0,173.8,178.84,30372900.0,2020,5,4,175.0140026,173.74400210000002,170.8515012,161.77000046999999,174.57001,175.8,178.64,174.0099945,0.024460043280057242,54.821763602251416,4.509962413745598,162.9015340291614,172.1020012,5.158492943959671,182.41898708791933,161.78501531208065,-45846700.0,7.172136879371689,52.45903099526383,49.099514690330324,5.228567249999998,174.57001
2020-05-05,180.62,183.64999,179.89999,180.75999,36839200.0,2020,5,5,175.972002,174.12200230000002,172.1020012,161.77500047,178.84,174.49001,179.0,173.8,0.01073579736076935,58.31459893531813,4.711409648272962,163.06006068442824,172.8765007,5.240924384911657,183.3583494698233,162.3946519301767,-9007500.0,13.704946318686071,58.817123600295396,51.07111878278804,5.253567249999999,178.84
2020-05-06,182.080002,184.2,181.63,182.53999,32139300.0,2020,5,6,178.162,175.4160003,172.8765007,161.97240027,180.75999,180.62,183.64999,179.89999,0.009847311896841848,55.49779821058363,4.957541702124615,163.2097606221788,173.8289997,5.175906788842232,184.18081327768445,163.47718612231554,23131800.0,9.666161039374344,57.731551892446745,53.93588496767256,5.113567964285713,180.75999
2020-05-07,184.17,184.55,182.58,183.60001,28316000.0,2020,5,7,179.18400000000003,176.3179993,173.8289997,162.26179993,182.53999,182.080002,184.2,181.63,0.005807056305853875,55.04846526655895,5.178444004120934,163.34688722867682,174.75250020000001,5.18983416062483,185.13216852124967,164.37283187875036,51447800.0,6.549593380730475,56.5855790779443,57.84161446732588,4.962140107142858,182.53999
2020-05-08,184.98,185.0,183.36,184.67999,30877800.0,2020,5,8,180.062,177.5360003,174.75250020000001,162.53040013,183.60001,184.17,184.55,182.58,0.0058822436883310125,60.22099292545202,5.378654252076785,163.50219542242428,175.7294997,5.123822210518646,185.97714412103727,165.4818552789627,82325600.0,9.279885144420588,58.218272594220736,60.22143457853547,4.810712250000001,183.60001
2020-05-11,183.14999,187.50999,182.85001,186.74001,30892700.0,2020,5,11,182.083996,178.5489993,175.7294997,163.06040013,184.67999,184.98,185.0,183.36,0.01115453818250689,72.58834765998085,5.63855100757408,163.6702279468403,176.7910007,5.094242353424584,186.9794854068492,166.60251599315083,113218300.0,21.947352054422304,48.905792485241825,58.20344212376055,4.504282392857143,184.67999
2020-05-12,186.8,187.039993,182.3,182.50999,32038200.0,2020,5,12,183.663998,179.818,176.7910007,163.55500044000001,186.74001,183.14999,187.50999,182.85001,-0.022651921246014894,61.12346365493908,5.440479337293368,163.81045798395428,177.23150019999997,5.19284201189322,187.6171842237864,166.84581617621353,81180100.0,21.1619639815877,43.29761251941162,57.442098146123286,4.4014254642857145,186.74001
2020-05-13,182.55,184.050003,176.53999,179.75,44711500.0,2020,5,13,184.013998,181.087999,177.23150019999997,163.74940044,182.50999,186.8,187.039993,182.3,-0.015122405080401302,60.14121736488075,5.003125073258104,163.97432991926038,177.62500020000002,5.062524837632023,187.75004987526407,167.49995052473597,36468600.0,13.835039924571213,49.784555538009144,58.84333928742072,4.641426535714286,182.50999
