Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-16,34.8391,35.63656,33.1445,33.19434,23255932.0,2020,3,16,40.2219688,46.287661400000005,52.64243335,57.58270786,25.872438731694245,-5.630248463985559,55.79025641669225,52.64243335,8.715264355015893,70.07296206003178,35.21190463996821,-171352829.0,-33.38870336669865,58.88701950244327,376.58959143061645,4.286356714285715,38.87625,40.072445,35.83593,39.12546,22099041.0,39.12546
2020-03-17,34.44037,36.53371,31.40005,35.28767,24121739.0,2020,3,17,38.6768868,44.0198804,51.10482785000001,57.05738006000001,23.99553028110941,-6.250579096973006,55.12719504534483,51.10482785000001,9.308523970936907,69.72187579187383,32.48777990812619,-194608761.0,-39.04992336069724,58.051514302287735,400.82825197869107,4.421640285714285,34.8391,35.63656,33.1445,33.19434,23255932.0,33.19434
2020-03-18,32.44672,33.89212,29.4064,32.89529,27873844.0,2020,3,18,36.9125028,42.1259084,49.69182535,56.56993146000001,28.52384710620663,-6.498372167296814,54.541180285878184,49.69182535,9.4639180378836,68.6196614257672,30.763989274232802,-170487022.0,-33.12350211230364,56.49093376887625,405.74731110840816,4.524883857142856,34.44037,36.53371,31.40005,35.28767,24121739.0,35.28767
2020-03-19,31.89846,34.44037,30.65243,32.2972,19861762.0,2020,3,19,35.3076108,39.9578094,48.19409285,56.017689260000004,28.7793859222039,-6.809301642139722,53.826741728438726,48.19409285,9.64057410858132,67.47524106716264,28.912944632837355,-198360866.0,-31.320751848499107,53.5094158531143,385.795267974164,4.717128142857142,32.44672,33.89212,29.4064,32.89529,27873844.0,32.89529
2020-03-20,34.93879,35.13815,32.14767,32.49656,25306037.0,2020,3,20,34.559992,38.1635214,46.68639235,55.46245674,24.29904986766175,-7.023019360126163,53.332033182639876,46.68639235,9.651439245329584,65.98927084065917,27.38351385934083,-218222628.0,-33.753945523741784,54.33751831560693,388.50199595403166,4.514202428571428,31.89846,34.44037,30.65243,32.2972,19861762.0,32.2972
2020-03-23,32.14767,33.044815,30.054333,30.45306,21193467.0,2020,3,23,33.234212,36.7280904,45.2584377,54.92217654,21.644478308203432,-7.0945242461824805,52.739391422453515,45.2584377,9.525450428537031,64.30933855707406,26.20753684292594,-192916591.0,-33.77952916872584,49.527541831392774,409.60156620620137,4.521322428571428,34.93879,35.13815,32.14767,32.49656,25306037.0,32.49656
2020-03-24,33.19434,35.18799,32.24735,34.93879,23974833.0,2020,3,24,32.685956,35.6814214,43.8254987,54.34401674,21.43710115037659,-7.232711558663269,52.22085275663387,43.8254987,9.487293667303268,62.80008603460654,24.85091136539346,-214110058.0,-37.728364008586674,52.58140301451522,436.92528796095775,4.482161142857143,32.14767,33.044815,30.054333,30.45306,21193467.0,30.45306
2020-03-25,37.13181,39.87308,34.68958,37.68006,27665082.0,2020,3,25,32.61618,34.7643414,42.751417700000005,53.87949554,28.540298973155373,-6.900717896832958,51.777643658798425,42.751417700000005,9.197925631232437,61.14726896246488,24.35556643753513,-190135225.0,-30.945127317555777,53.58231055290901,440.69543177535246,4.670846142857142,33.19434,35.18799,32.24735,34.93879,23974833.0,34.93879
2020-03-26,38.02895,41.36832,37.43085,40.47118,24714600.0,2020,3,26,33.573133999999996,34.440372399999994,41.906606700000005,53.42494253999999,35.77877350359647,-6.3432914336116895,51.37244449003533,41.906606700000005,8.822972617664034,59.55255193532807,24.260661464671937,-162470143.0,-20.744686414212296,51.443774337675684,435.7630492039861,4.685086142857143,37.13181,39.87308,34.68958,37.68006,27665082.0,37.68006
2020-03-27,38.27816,39.22514,37.58038,37.97911,18719196.0,2020,3,27,35.20793,34.883961,41.3409077,53.035183339999996,42.67734574262921,-5.611619629850161,51.099539347801446,41.3409077,8.5135384373703,58.3679845747406,24.3138308252594,-137755543.0,-11.187744911224513,50.19157185906494,417.55610150549074,4.645925428571429,38.02895,41.36832,37.43085,40.47118,24714600.0,40.47118
