Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-30,26.33,28.39,25.31,27.83,37725700.0,2020,3,30,26.076,22.055,25.672500049999996,32.922799952,48.49101390301797,-2.4447405663507844,31.400452022152198,25.672500049999996,5.842281411513489,37.357062873026976,13.987937226973019,-118117700.0,-4.203375550660796,53.19383259911894,614.2733916635968,3.891428571428571,25.82,28.030001,25.07,27.28,40292200.0,27.28
2020-03-31,27.75,28.25,26.92,27.92,43126400.0,2020,3,31,27.162,22.809,25.42150005,32.785799952000005,48.05061559507524,-2.029306603072662,31.343272375563792,25.42150005,5.621345925352213,36.664191900704424,14.178808199295572,-80392000.0,-2.6873857404021915,51.316270566727596,584.7872582686301,3.9071428571428575,26.33,28.39,25.31,27.83,37725700.0,27.83
2020-04-01,26.5,26.767,24.81,25.42,38538400.0,2020,4,1,27.468,23.71,25.1655,32.641599952,53.15789473684211,-1.673518664856779,31.281728227286674,25.1655,5.366961774059019,35.89942354811804,14.431576451881963,-37265600.0,0.20884754129485364,53.71179039301309,545.9733714023165,3.7621428571428575,27.75,28.25,26.92,27.92,43126400.0,27.92
2020-04-02,25.01,25.2,23.0,23.68,35838200.0,2020,4,2,27.314,24.77,24.71,32.397999952,55.51629367883786,-1.5751261928659126,31.189045301941487,24.71,4.896306878927401,34.5026137578548,14.917386242145199,-75804000.0,4.021297192642784,52.08131655372701,498.290411000757,3.6892857142857145,26.5,26.767,24.81,25.42,38538400.0,25.42
2020-04-03,23.73,23.79,21.67,22.82,40572000.0,2020,4,3,26.426,25.656,24.283499999999997,32.130799932,51.98529411764705,-1.6188913365441095,31.080234491718805,24.283499999999997,4.56920731925309,33.42191463850618,15.145085361493816,-111642200.0,0.7739630879142698,55.03076007144274,460.93905264213913,3.599285714285714,25.01,25.2,23.0,23.68,35838200.0,23.68
2020-04-06,24.13,26.09,23.93,25.99,34692600.0,2020,4,6,25.534,25.805,23.8405,31.839199932,54.9126213592233,-1.7033353512601437,30.946915115988347,23.8405,4.231362198232598,32.3032243964652,15.377775603534802,-152214200.0,4.692919812283209,55.15200979391962,331.10159430387705,3.5007142857142854,23.73,23.79,21.67,22.82,40572000.0,22.82
2020-04-07,27.95,28.11,25.5,25.74,36433800.0,2020,4,7,25.166000000000004,26.163999999999998,23.7315,31.622999932,62.85403050108932,-1.4972064698979501,30.879435891415515,23.7315,4.141079537613631,32.01365907522727,15.449340924772738,-117521600.0,11.564625850340136,56.42256902761103,258.87190162945603,3.5700000000000003,24.13,26.09,23.93,25.99,34692600.0,25.99
2020-04-08,26.0,27.878,25.79,26.94,36166900.0,2020,4,8,24.729999999999997,26.099,23.57,31.411799931999997,73.0379746835443,-1.3385903210255954,30.806996165543087,23.57,3.9861127350894545,31.54222547017891,15.597774529821091,-153955400.0,21.7556446507702,53.74551593163114,193.57372566589922,3.3850000000000002,27.95,28.11,25.5,25.74,36433800.0,25.74
2020-04-09,27.88,28.89,26.46,27.11,36190200.0,2020,4,9,25.034,26.174,23.604999999999997,31.210399966,74.33734939759036,-1.1033373232364205,30.753637183730067,23.604999999999997,4.013767753488933,31.632535506977863,15.57746449302213,-117788500.0,22.17967340111801,56.692636119547515,119.44589732043084,3.2455714285714286,26.0,27.878,25.79,26.94,36166900.0,26.94
2020-04-13,27.040001,28.08,26.47,27.99,24671600.0,2020,4,13,25.72,26.073,23.830000000000002,31.012799966,65.57112068965517,-0.8928873982080212,30.70401302729597,23.830000000000002,4.080626886824365,31.99125377364873,15.668746226351272,-81598300.0,12.887262230011853,50.337646270426305,107.33227424027487,2.771285714285715,27.88,28.89,26.46,27.11,36190200.0,27.11
