Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-04-22,86.98,89.44,86.42,88.77,6463000.0,2020,4,22,86.8700002,86.2530001,83.61900015,86.32199996000001,53.85338370008671,1.0871652357319874,86.75710828765858,91.65224114772842,75.58575915227159,-57404800.0,2.481968288251811,55.43062934697126,68.48672905823713,3.367143285714288,85.99,86.9,85.089996,85.2,6597000.0,85.2
2020-04-23,88.94,89.53,87.26,87.35,5343500.0,2020,4,23,87.616,86.71400009999999,84.44100015,86.09700002,64.91557316545172,1.2800782605381187,86.77492421842243,90.80056252279576,78.08143777720423,-50941800.0,17.511127728073607,50.01060631622565,65.46564555525491,3.369286142857145,86.98,89.44,86.42,88.77,6463000.0,88.77
2020-04-24,88.89,89.12,87.65,88.37,4450100.0,2020,4,24,87.826,86.91900009999999,84.85800005,85.84360008000002,61.09572244356554,1.3033568040695371,86.77910192888702,90.79801458771082,78.91798551228918,-56285300.0,17.62221987259291,51.24445094518435,62.66162187011207,3.2142861428571448,88.94,89.53,87.26,87.35,5343500.0,87.35
2020-04-27,88.38,89.87,87.31,89.37,6875100.0,2020,4,27,87.518,87.07700009999999,85.06150004999999,85.55100008000001,64.75333631730291,1.388109431576268,86.78866902187255,91.19668683061704,78.92631326938294,-51835200.0,20.947460132807326,50.96543094313911,60.34488454211433,3.1814290000000023,88.89,89.12,87.65,88.37,4450100.0,88.37
2020-04-28,90.55,90.71,88.63,88.8,5145400.0,2020,4,28,87.81200000000001,87.56800009999999,85.36850005,85.27100008,58.6307362440449,1.5184642316846606,86.81243054769482,91.72817985562786,79.00882024437213,-44960100.0,11.803515175523554,48.24047797648123,60.322820638899856,2.9228575000000023,88.38,89.87,87.31,89.37,6875100.0,89.37
2020-04-29,90.0,91.39,87.83,88.07,9461400.0,2020,4,29,88.532,87.7010001,85.53950005,84.97620008,58.41799770812755,1.5578195396706178,86.82602968540515,92.08177543079154,78.99722466920846,-50105500.0,4.821802429580426,47.798755471828585,63.24856099631341,2.7257145714285733,90.55,90.71,88.63,88.8,5145400.0,88.8
2020-04-30,87.0,88.0,86.51,87.18,9371400.0,2020,4,30,88.392,88.00399999999999,85.80600005,84.69760007999999,55.10128951022389,1.512666922968208,86.8414859817598,92.30218967758012,79.30981042241987,-59566900.0,14.206267522116528,47.067760660489306,63.14876303787089,2.825714571428574,90.0,91.39,87.83,88.07,9461400.0,88.07
2020-05-01,85.67,86.11,84.81,85.54,6151200.0,2020,5,1,88.358,88.09200000000001,86.20350005,84.39200008,50.73446333216297,1.389055420731637,86.84560135285541,91.93313221736199,80.47386788263802,-68938300.0,1.5685264521957856,47.28723607228223,66.03978392493337,2.77785742857143,87.0,88.0,86.51,87.18,9371400.0,87.18
2020-05-04,84.68,85.8,84.31,85.75,6348900.0,2020,5,4,87.792,87.655,86.47350005,84.05220008,52.088167214862146,1.1455528999396591,86.83526549533259,91.46090422943631,81.48609587056369,-75089500.0,0.3108002786013814,49.391364994419604,70.7374057874181,2.75785742857143,85.67,86.11,84.81,85.54,6151200.0,85.54
2020-05-05,86.54,88.53,86.029999,87.2,6321500.0,2020,5,5,87.06800000000001,87.44,86.81800005,83.76220008,46.270598115403125,0.9584719745335377,86.8264696747665,90.32249089653962,83.31350920346037,-68740600.0,-5.354715373230181,49.551524919649395,76.70485436413453,2.627857428571429,84.68,85.8,84.31,85.75,6348900.0,85.75
2020-05-06,88.050003,88.69,87.43,88.44,7342300.0,2020,5,6,86.748,87.64000000000001,86.94650005,83.58800008,54.891302304859714,0.9166453580525626,86.82945985446936,90.2983338351966,83.5946662648034,-62419100.0,7.400166724360058,50.767955792465145,76.11558156888634,2.557857428571429,86.54,88.53,86.029999,87.2,6321500.0,87.2
